epoch,loss,lr
0,0.113,0.00499
1,0.035,0.00498
2,0.0655,0.00497
3,0.0225,0.00496
4,0.0258,0.00495
5,0.0451,0.00495
6,0.04,0.00494
7,0.0246,0.00493
8,0.0561,0.00492
9,0.0261,0.00491
10,0.0492,0.0049
11,0.127,0.00489
12,0.0248,0.00488
13,0.0257,0.00487
14,0.0277,0.00486
15,0.0415,0.00486
16,0.0292,0.00485
17,0.0285,0.00484
18,0.0692,0.00483
19,0.0438,0.00482
20,0.464,0.00481
21,0.0243,0.0048
22,0.0241,0.00479
23,0.0275,0.00478
24,0.0272,0.00477
25,0.0589,0.00477
26,0.148,0.00476
27,0.0533,0.00475
28,0.0116,0.00474
29,0.0439,0.00473
30,0.0241,0.00472
31,0.0242,0.00471
32,0.0627,0.0047
33,0.0844,0.00469
34,0.027,0.00468
35,0.0271,0.00467
36,0.0193,0.00467
37,0.00712,0.00466
38,0.0955,0.00465
39,0.0345,0.00464
40,0.0469,0.00463
41,0.0261,0.00462
42,0.00762,0.00461
43,0.00937,0.0046
44,0.0195,0.00459
45,0.0138,0.00458
46,0.0217,0.00457
47,0.0584,0.00457
48,0.0191,0.00456
49,0.0469,0.00455
50,0.0203,0.00454
51,0.014,0.00453
52,0.0154,0.00452
53,0.029,0.00451
54,0.00958,0.0045
55,0.0826,0.00449
56,0.0246,0.00448
57,0.0534,0.00447
58,0.0239,0.00447
59,0.0251,0.00446
60,0.044,0.00445
61,0.0339,0.00444
62,0.0261,0.00443
63,0.0104,0.00442
64,0.0188,0.00441
65,0.011,0.0044
66,0.026,0.00439
67,0.00624,0.00438
68,0.0552,0.00437
69,0.0508,0.00437
70,0.0147,0.00436
71,0.00967,0.00435
72,0.00463,0.00434
73,0.0149,0.00433
74,0.0431,0.00432
75,0.0105,0.00431
76,0.106,0.0043
77,0.0222,0.00429
78,0.0145,0.00428
79,0.0393,0.00427
80,0.00537,0.00426
81,0.0378,0.00426
82,0.0328,0.00425
83,0.034,0.00424
84,0.0237,0.00423
85,0.0149,0.00422
86,0.0329,0.00421
87,0.015,0.0042
88,0.0379,0.00419
89,0.125,0.00418
90,0.0617,0.00417
91,0.0152,0.00416
92,0.0489,0.00415
93,0.0122,0.00415
94,0.0192,0.00414
95,0.0508,0.00413
96,0.00345,0.00412
97,0.0116,0.00411
98,0.0166,0.0041
99,0.0477,0.00409
100,0.0171,0.00408
101,0.0505,0.00407
102,0.00623,0.00406
103,0.0164,0.00405
104,0.0104,0.00404
